business_status,formatted_address,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,price_level,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
OPERATIONAL,"675 6th Ave, New York, NY 10010, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107825351408084373517"">James Petts</a>'], 'photo_reference': 'AfLeUgMFUMDHOS9w_LbxXxsfnafxGHatvmTwShw-9g9nHJJBUHuYIJVzqIEbT-CMmi8jYGKoY16ABhNBBWHTOBghik5XUHSEa3ks04--KskxPcz81MGcB3WFtVGu-tC3C-CEdhPQRX2eY63Z-ENoGxo5Z-HYb6BmIOhhNa8b82ie2JkTaVCK', 'width': 4608}]",ChIJI5xCX6NZwokR3jdSQwsw2DI,2,4.6,ChIJI5xCX6NZwokR3jdSQwsw2DI,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",6030,40.7420901,-73.9941211,40.74329368,-73.99251087,40.74059402,-73.99521053,FALSE,P2R4+R9 New York,87G8P2R4+R9
OPERATIONAL,"142 E 14th St, New York, NY 10003, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116459289962089758430"">Mod Mod</a>'], 'photo_reference': 'AfLeUgP2B9oTw43TvG6QjumDoaBNGuOKUqQ5RjKm6vO3Cvzt4ccUBzuGHclC5spoadmW1Djmfyj-mLgntHYOjwXyZrr7frkbx2GYXTUaxSRuwJcxHuHnxGM9DaKwxgfzVGO_x0nphT7vyORcfpYt8k7JmSdF5801H6rMOZNUaRh2p53RKro', 'width': 4032}]",ChIJa5oiKJ9ZwokR4EX7HlQSstY,2,4.4,ChIJa5oiKJ9ZwokR4EX7HlQSstY,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",4543,40.7333532,-73.9878949,40.73482333,-73.98653202,40.73212367,-73.98923168,FALSE,P2M6+8R New York,87G8P2M6+8R
OPERATIONAL,"200 E 32nd St, New York, NY 10016, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104386132997549304923"">Maarten Schäfer</a>'], 'photo_reference': 'AfLeUgOceUza7XoTnc7I5VlnOyYJ8EgNFbByfTjNeSGMkgOxAUG2tw2QeKFUcRt5r-BFtwBlBRgo8O-rkSMz1XboUIMlwrG0SYxUnSopcXTVHWghZIfZIu-lHFA-HM__5mHGkbg0tv0IQrrjcc3zhq6Cg4XSFAMlqhIZx9b2N0BC4b4aoyKr', 'width': 4032}]",ChIJH_ZOmghZwokRa20TcxP_Bfs,2,4.5,ChIJH_ZOmghZwokRa20TcxP_Bfs,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",3806,40.7439882,-73.9790839,40.74542123,-73.97787907,40.74272157,-73.98057873,FALSE,P2VC+H9 New York,87G8P2VC+H9
OPERATIONAL,"2073 Broadway, New York, NY 10023, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116507382416807671621"">mamrak s</a>'], 'photo_reference': 'AfLeUgMnVVbZYIrSTmfDTI6xxQCr5G_fhYjwD1kcrR7Sa-Y4W3o3DY-rnj2y5Y9stnFrnw23ceUBwMjJfWGUOzYzPprmprNDPJK5SghPtOO8ruHwlWGX-KWLSqtqG3Xbu-RyVl0YGRomr3BeKNGPUXzvO-fzDtf0OYJHogZHrzd0d51fGvLq', 'width': 4032}]",ChIJ5U8xEopYwokRjV6TuL4I9Ac,2,4.5,ChIJ5U8xEopYwokRjV6TuL4I9Ac,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",5351,40.7785639,-73.9823142,40.77989668,-73.98086967,40.77719702,-73.98356933,FALSE,Q2H9+C3 New York,87G8Q2H9+C3
OPERATIONAL,"405 E 59th St, New York, NY 10022, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109657730035472509998"">A Google User</a>'], 'photo_reference': 'AfLeUgMC5fRjvkrhyaC2m6StIcsMVPrIWc96svAYTg3o3-szBDHEvUv8rfQUXhXtYccAMN9MT7Jp08dcl75SQoiZ_DaAOnZXQDE88tpeZpOJpLseTFiATxYJkPblJbwXRFEq1dZEjgVG-3JO54NMiR_gdnd5VH7oq17jcRNTEBQRKdm5KNrw', 'width': 4032}]",ChIJVaVhLKxZwokRS0yT-WWNnuA,,4.7,ChIJVaVhLKxZwokRS0yT-WWNnuA,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",747,40.7597032,-73.9615347,40.76094923,-73.96024947,40.75824957,-73.96294913,FALSE,Q25Q+V9 New York,87G8Q25Q+V9
OPERATIONAL,"233 Spring St, New York, NY 10013, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113601290550508633476"">Cam V</a>'], 'photo_reference': 'AfLeUgNJCUPrz6ecEAbxF-RQZND8rfKIHs0V_--FC1mmH-faHf5gWvGgjDrUx4QVyXCmweBH-CwIPgcAPATeqZ32qCTswcX6BgHA1FZLoybBK-JQXGigvJ93jr2yaNYjBj-HXxRZR3SoJv0pa6Jpq7hRvzMmfwLKa2ckpC5FdI_-vprmZKrD', 'width': 4032}]",ChIJZd0F3oxZwokRiaEouMZKQ-0,2,4.7,ChIJZd0F3oxZwokRiaEouMZKQ-0,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",1647,40.7257485,-74.0048949,40.72700768,-74.00342437,40.72430802,-74.00612403,FALSE,PXGW+72 New York,87G7PXGW+72
OPERATIONAL,"436 E 14th St, New York, NY 10009, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117808460219123378764"">Ruwan J.</a>'], 'photo_reference': 'AfLeUgNitX9q9eOzg9GoqnRnHCV-JQTiiB2yJK8qNaJUgUD8EuXVlxQlWFMlraMlMO7gsHR_TG-O92v9dN_EXvGCZ9X__mNETtOKLtWQeGrjpV_VJC2vVSsOWMu4U2XnztBK0YMBbz0CzDPd6jL6BOjQDI2KODAgdtfozZAEVFGakYkiLbF0', 'width': 4032}]",ChIJIVZfRRpZwokR1GJQ1hL-mQQ,,4.6,ChIJIVZfRRpZwokR1GJQ1hL-mQQ,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",940,40.7305189,-73.9809922,40.73190618,-73.97963707,40.72920652,-73.98233673,FALSE,P2J9+5J New York,87G8P2J9+5J
OPERATIONAL,"400 Grand St. (Cellar, New York, NY 10002, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118352747832290984851"">Adrianne Galvez</a>'], 'photo_reference': 'AfLeUgNedMfXBnMdyHgZrsVJM6twqwqrdsxWS5Aseddt9P6pEz3LKqqpJdOVGIWefPbVXnViVmhRA1ET8UhP2H-ngPeE1MVskOUL_8RFIQJRN4LyC3T7AJ9q1IwJYKiR8HPlVcFgiG01e1LSLMTHj1Tf_eL0CSGwU_CnZCQlFVcJCFkcjrH-', 'width': 4032}]",ChIJ9WABQ8hZwokR59mUJakO9IA,2,4.6,ChIJ9WABQ8hZwokR59mUJakO9IA,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",1970,40.7164903,-73.9867718,40.71760333,-73.98542932,40.71490367,-73.98812898,FALSE,P287+H7 New York,87G8P287+H7
OPERATIONAL,"670 Columbus Ave, New York, NY 10025, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115339415768382847625"">Chris Jake</a>'], 'photo_reference': 'AfLeUgM4ycLfKY6kWkosDpipXiyhYuFhnWnvIz6VtNHC3y7FHnBwRspVMzIliDNXH_J-7QCcI_AIMuQiNlH9rWvgRukxIMO7u147-6cPYVfZGpVnMFZ8UelkR9aL85swJPgD5j6ayo3YFl8V_yRIEOa6ycjlm8H9iUZglXvHCBSlFaWvosG9', 'width': 4032}]",ChIJ1_bNGJ1YwokR9OFA1FuxTJQ,2,4.6,ChIJ1_bNGJ1YwokR9OFA1FuxTJQ,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",2443,40.7907104,-73.9695098,40.79200058,-73.96799882,40.78930092,-73.97069848,FALSE,Q2RJ+75 New York,87G8Q2RJ+75
OPERATIONAL,"22-43 Jackson Ave, Queens, NY 11101, United States",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/shopping-71.png,#4B96F3,https://maps.gstatic.com/mapfiles/place_api/icons/v2/shoppingcart_pinlet,Trader Joe's,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113020832504068736638"">A Google User</a>'], 'photo_reference': 'AfLeUgMfKZyr8xAwx6hRwONm5PJMmOI-f9n4PsDO37Ewq-XmqgvhtPXdtanYylBEtwsK9uyiltxLXf78xPgz8K52MswZ2cmgGOptOhCtf8Kashtx6zacBy4xm2qYaE0qOJhzUHHbRdC-IwG4kPY51CeSZ-baV8CJ5Lrdcp7nh4YTx8nLdCof', 'width': 4032}]",ChIJieKUCG5ZwokRcFYGfu1T0Sc,,4.6,ChIJieKUCG5ZwokRcFYGfu1T0Sc,"['grocery_or_supermarket', 'supermarket', 'food', 'store', 'health', 'point_of_interest', 'establishment']",925,40.7458383,-73.9461982,40.74711848,-73.94479767,40.74441882,-73.94749733,FALSE,P3W3+8G New York,87G8P3W3+8G
