business_status,formatted_address,zip_code,borough,standardized_name,user_ratings_total,place_id,price_level,rating,lat,lon
OPERATIONAL,"140 W 57th St, New York, NY 10019, United States",10019,Manhattan,Morton Williams,1017,ChIJlTWmZvdYwokROyEKYwbPEwo,,4.3,40.7647437,-73.9789166
OPERATIONAL,"278 Park Ave S, New York, NY 10010, United States",10010,Manhattan,Morton Williams,244,ChIJuxB7FqFZwokRZM2omDcGNb0,,3.6,40.7394127,-73.9872538
OPERATIONAL,"1331 1st Ave., New York, NY 10021, United States",10021,Manhattan,Morton Williams,632,ChIJg4OMoMFYwokRTxs3OH9NQGg,,4.0,40.7673667,-73.9565889
OPERATIONAL,"1031 1st Ave., New York, NY 10022, United States",10022,Manhattan,Morton Williams,458,ChIJ0dtMz-ZYwokRo0RsQAlsIyw,,4.1,40.757898,-73.9635076
OPERATIONAL,"908 2nd Ave, New York, NY 10017, United States",10017,Manhattan,Morton Williams,968,ChIJwdELkOJYwokRgSJOA1wL2Mo,,4.1,40.7538,-73.9690999
OPERATIONAL,"1565 1st Ave., New York, NY 10028, United States",10028,Manhattan,Morton Williams,313,ChIJYXC-FblYwokR9xWuqc58d7g,,3.7,40.7738546,-73.9518157
OPERATIONAL,"917 9th Ave, New York, NY 10019, United States",10019,Manhattan,Morton Williams,485,ChIJabm8wlhYwokRGwnWxb9HbtY,,3.9,40.7689628,-73.9852025
OPERATIONAL,"1211 Madison Ave, New York, NY 10128, United States",10128,Manhattan,Morton Williams,352,ChIJSxyuyaJYwokRnrldro_G1Ps,,4.2,40.7816574,-73.9580391
OPERATIONAL,"1251 3rd Ave, New York, NY 10021, United States",10021,Manhattan,Morton Williams,176,ChIJ54xCElhZwokRUFGlkOugKXw,,4.2,40.769822,-73.9603509
OPERATIONAL,"130 Bleecker St, New York, NY 10012, United States",10012,Manhattan,Morton Williams,561,ChIJbcsU2ZFZwokRL9esxzwOzEE,,4.0,40.7278117,-73.9987584
OPERATIONAL,"1066 3rd Ave, New York, NY 10065, United States",10065,Manhattan,Morton Williams,660,ChIJQyEH0ehYwokRdBbXzsOGYmQ,,4.1,40.7644148,-73.9648692
OPERATIONAL,"2941 Broadway, New York, NY 10027, United States",10027,Manhattan,Morton Williams,297,ChIJx5-q0D72wokR-98xbWUpdMY,,3.5,40.8076684,-73.9645733
OPERATIONAL,"313 E 23rd St, New York, NY 10010, United States",10010,Manhattan,Morton Williams,402,ChIJucv6UgpZwokRc_1ic0idaSw,,3.8,40.7378369,-73.9801146
OPERATIONAL,"260 Park Ave S, E 21st St, New York, NY 10010, United States",10010,Manhattan,Morton Williams,0,ChIJ5envPFRZwokRTpMKXRTPi9M,,0.0,40.7388862,-73.9877132
OPERATIONAL,"15 West End Ave, New York, NY 10023, United States",10023,Manhattan,Morton Williams,217,ChIJW0IsvnFZwokRvc_5nuewZBE,,3.9,40.7721229,-73.9904864
OPERATIONAL,"2017 Broadway, New York, NY 10023, United States",10023,Manhattan,Morton Williams,0,ChIJnb2q3l5ZwokRVLalrjVe1E4,,0.0,40.7738698,-73.9819437
OPERATIONAL,"2131 Broadway, New York, NY 10023, United States",10023,Manhattan,Fairway Market,2087,ChIJQ75KlYlYwokRs7U2ntd8bOU,2.0,4.2,40.7807653,-73.9816666
OPERATIONAL,"550 2nd Ave, New York, NY 10016, United States",10016,Manhattan,Fairway Market,2148,ChIJVY3s0ghZwokR6e1D8qjJL1k,2.0,4.3,40.7424641,-73.9770711
OPERATIONAL,"240 East 86th St, New York, NY 10028, United States",10028,Manhattan,Fairway Market,2201,ChIJQ75KlYlYwokRN76w58GDi00,2.0,4.2,40.7780229,-73.9527073
OPERATIONAL,"766 6th Ave, New York, NY 10010, United States",10010,Manhattan,Fairway Market,1917,ChIJi6wqqaVZwokRGr5R0dVtAbg,,4.2,40.7445028,-73.991425
OPERATIONAL,"2385 Richmond Ave, Staten Island, NY 10314, United States",10314,Staten Island,Trader Joe's,3082,,2.0,4.6,40.589451,-74.165352
